"YEAR_SEMESTER","EDAD_MOD","NIVEL","SEDE_NOMBRE_MAT","n"
"2009 - 1",31,"Pregrado","Palmira",2
"2009 - 1",32,"Doctorado","Bogotá",2
"2009 - 1",32,"Especialidades Médicas","Bogotá",6
"2009 - 1",32,"Especialización","Bogotá",14
"2009 - 1",32,"Especialización","Manizales",1
"2009 - 1",32,"Especialización","Medellín",3
"2009 - 1",32,"Maestría","Bogotá",12
"2009 - 1",32,"Maestría","Medellín",6
"2009 - 1",32,"Pregrado","Bogotá",32
"2009 - 1",32,"Pregrado","Manizales",6
"2009 - 1",32,"Pregrado","Medellín",8
"2009 - 1",33,"Especialidades Médicas","Bogotá",6
"2009 - 1",33,"Especialización","Bogotá",2
"2009 - 1",33,"Especialización","Manizales",3
"2009 - 1",33,"Especialización","Medellín",4
"2009 - 1",33,"Maestría","Bogotá",7
"2009 - 1",33,"Maestría","Medellín",3
"2009 - 1",33,"Pregrado","Bogotá",23
"2009 - 1",33,"Pregrado","Manizales",3
"2009 - 1",33,"Pregrado","Medellín",3
"2009 - 1",34,"Especialidades Médicas","Bogotá",7
"2009 - 1",34,"Especialización","Bogotá",12
"2009 - 1",34,"Especialización","Medellín",2
"2009 - 1",34,"Maestría","Bogotá",10
"2009 - 1",34,"Maestría","Manizales",2
"2009 - 1",34,"Maestría","Medellín",1
"2009 - 1",34,"Pregrado","Bogotá",12
"2009 - 1",34,"Pregrado","Manizales",1
"2009 - 1",34,"Pregrado","Medellín",6
"2009 - 1",35,"Especialidades Médicas","Bogotá",1
"2009 - 1",35,"Especialización","Amazonía",1
"2009 - 1",35,"Especialización","Bogotá",8
"2009 - 1",35,"Especialización","Manizales",1
"2009 - 1",35,"Especialización","Medellín",2
"2009 - 1",35,"Maestría","Bogotá",6
"2009 - 1",35,"Maestría","Medellín",2
"2009 - 1",35,"Pregrado","Bogotá",10
"2009 - 1",35,"Pregrado","Manizales",5
"2009 - 1",35,"Pregrado","Medellín",2
"2009 - 1",35,"Pregrado","Palmira",1
"2009 - 1",36,"Especialidades Médicas","Bogotá",1
"2009 - 1",36,"Especialización","Bogotá",6
"2009 - 1",36,"Especialización","Medellín",2
"2009 - 1",36,"Maestría","Bogotá",11
"2009 - 1",36,"Maestría","Medellín",3
"2009 - 1",36,"Pregrado","Bogotá",7
"2009 - 1",36,"Pregrado","Medellín",2
"2009 - 1",37,"Doctorado","Bogotá",2
"2009 - 1",37,"Especialidades Médicas","Bogotá",3
"2009 - 1",37,"Especialización","Bogotá",8
"2009 - 1",37,"Especialización","Medellín",1
"2009 - 1",37,"Maestría","Bogotá",4
"2009 - 1",37,"Maestría","Manizales",1
"2009 - 1",37,"Pregrado","Bogotá",1
"2009 - 1",37,"Pregrado","Medellín",1
"2009 - 1",38,"Especialidades Médicas","Bogotá",1
"2009 - 1",38,"Especialización","Bogotá",7
"2009 - 1",38,"Especialización","Manizales",1
"2009 - 1",38,"Especialización","Medellín",1
"2009 - 1",38,"Maestría","Bogotá",5
"2009 - 1",38,"Maestría","Medellín",1
"2009 - 1",38,"Pregrado","Bogotá",3
"2009 - 1",38,"Pregrado","Manizales",2
"2009 - 1",38,"Pregrado","Medellín",2
"2009 - 1",39,"Doctorado","Bogotá",1
"2009 - 1",39,"Doctorado","Medellín",1
"2009 - 1",39,"Doctorado","Palmira",1
"2009 - 1",39,"Especialidades Médicas","Bogotá",1
"2009 - 1",39,"Especialización","Bogotá",7
"2009 - 1",39,"Maestría","Bogotá",10
"2009 - 1",39,"Maestría","Manizales",1
"2009 - 1",39,"Maestría","Medellín",1
"2009 - 1",39,"Pregrado","Bogotá",24
"2009 - 1",39,"Pregrado","Manizales",1
"2009 - 1",39,"Pregrado","Medellín",1
"2009 - 1",40,"Doctorado","Bogotá",1
"2009 - 1",40,"Doctorado","Medellín",1
"2009 - 1",40,"Especialidades Médicas","Bogotá",1
"2009 - 1",40,"Especialización","Bogotá",5
"2009 - 1",40,"Especialización","Medellín",2
"2009 - 1",40,"Maestría","Bogotá",8
"2009 - 1",40,"Pregrado","Bogotá",4
"2009 - 1",41,"Especialización","Bogotá",6
"2009 - 1",41,"Especialización","Medellín",1
"2009 - 1",41,"Maestría","Bogotá",4
"2009 - 1",41,"Pregrado","Bogotá",3
"2009 - 1",42,"Especialización","Bogotá",3
"2009 - 1",42,"Especialización","Manizales",1
"2009 - 1",42,"Especialización","Medellín",3
"2009 - 1",42,"Maestría","Bogotá",4
"2009 - 1",42,"Pregrado","Bogotá",2
"2009 - 1",42,"Pregrado","Palmira",1
"2009 - 1",43,"Especialización","Bogotá",1
"2009 - 1",43,"Maestría","Bogotá",2
"2009 - 1",43,"Maestría","Medellín",3
"2009 - 1",43,"Pregrado","Bogotá",1
"2009 - 1",44,"Especialización","Bogotá",2
"2009 - 1",44,"Especialización","Medellín",1
"2009 - 1",44,"Maestría","Bogotá",2
"2009 - 1",44,"Pregrado","Bogotá",2
"2009 - 1",44,"Pregrado","Palmira",1
"2009 - 1",45,"Doctorado","Medellín",1
"2009 - 1",45,"Especialidades Médicas","Bogotá",1
"2009 - 1",45,"Especialización","Bogotá",5
"2009 - 1",45,"Especialización","Medellín",1
"2009 - 1",45,"Maestría","Bogotá",5
"2009 - 1",46,"Doctorado","Bogotá",1
"2009 - 1",46,"Doctorado","Medellín",1
"2009 - 1",46,"Especialización","Bogotá",5
"2009 - 1",46,"Maestría","Bogotá",3
"2009 - 1",46,"Maestría","Manizales",1
"2009 - 1",46,"Maestría","Medellín",1
"2009 - 1",46,"Maestría","Palmira",1
"2009 - 1",46,"Pregrado","Bogotá",2
"2009 - 1",47,"Especialización","Bogotá",4
"2009 - 1",47,"Especialización","Medellín",2
"2009 - 1",47,"Maestría","Bogotá",2
"2009 - 1",47,"Maestría","Medellín",2
"2009 - 1",48,"Doctorado","Palmira",1
"2009 - 1",48,"Especialización","Bogotá",3
"2009 - 1",48,"Especialización","Medellín",2
"2009 - 1",48,"Maestría","Bogotá",5
"2009 - 1",48,"Maestría","Medellín",1
"2009 - 1",49,"Especialización","Bogotá",5
"2009 - 1",49,"Especialización","Medellín",2
"2009 - 1",49,"Maestría","Bogotá",2
"2009 - 1",50,"Doctorado","Bogotá",1
"2009 - 1",50,"Especialización","Bogotá",5
"2009 - 1",50,"Especialización","Medellín",1
"2009 - 1",50,"Maestría","Bogotá",5
"2009 - 1",50,"Maestría","Medellín",1
"2009 - 1",51,"Doctorado","Bogotá",1
"2009 - 1",51,"Maestría","Bogotá",2
"2009 - 1",51,"Maestría","Manizales",1
"2009 - 1",51,"Maestría","Medellín",1
"2009 - 1",52,"Especialización","Bogotá",1
"2009 - 1",53,"Doctorado","Medellín",1
"2009 - 1",53,"Especialización","Bogotá",1
"2009 - 1",53,"Maestría","Bogotá",3
"2009 - 1",54,"Doctorado","Bogotá",2
"2009 - 1",54,"Especialización","Bogotá",2
"2009 - 1",54,"Especialización","Medellín",1
"2009 - 1",54,"Maestría","Bogotá",3
"2009 - 1",54,"Maestría","Medellín",1
"2009 - 1",56,"Maestría","Medellín",1
"2009 - 1",57,"Doctorado","Bogotá",1
"2009 - 1",57,"Especialización","Bogotá",1
"2009 - 1",57,"Pregrado","Bogotá",1
"2009 - 1",59,"Especialización","Bogotá",2
"2009 - 1",59,"Pregrado","Bogotá",1
"2009 - 1",61,"Especialización","Bogotá",1
"2009 - 1",64,"Especialización","Bogotá",1
"2009 - 2",19,"Pregrado","Bogotá",1
"2009 - 2",20,"Pregrado","Bogotá",9
"2009 - 2",20,"Pregrado","Manizales",4
"2009 - 2",21,"Pregrado","Bogotá",73
"2009 - 2",21,"Pregrado","Manizales",7
"2009 - 2",21,"Pregrado","Medellín",8
"2009 - 2",21,"Pregrado","Palmira",1
"2009 - 2",22,"Especialización","Bogotá",1
"2009 - 2",22,"Pregrado","Bogotá",198
"2009 - 2",22,"Pregrado","Manizales",45
"2009 - 2",22,"Pregrado","Medellín",35
"2009 - 2",22,"Pregrado","Palmira",5
"2009 - 2",23,"Especialización","Bogotá",1
"2009 - 2",23,"Especialización","Manizales",1
"2009 - 2",23,"Maestría","Bogotá",1
"2009 - 2",23,"Maestría","Manizales",1
"2009 - 2",23,"Pregrado","Bogotá",253
"2009 - 2",23,"Pregrado","Manizales",64
"2009 - 2",23,"Pregrado","Medellín",74
"2009 - 2",23,"Pregrado","Palmira",4
"2009 - 2",24,"Especialización","Bogotá",1
"2009 - 2",24,"Maestría","Bogotá",4
"2009 - 2",24,"Maestría","Medellín",1
"2009 - 2",24,"Pregrado","Bogotá",192
"2009 - 2",24,"Pregrado","Manizales",74
"2009 - 2",24,"Pregrado","Medellín",44
"2009 - 2",24,"Pregrado","Palmira",2
"2009 - 2",25,"Especialización","Bogotá",3
"2009 - 2",25,"Maestría","Bogotá",16
"2009 - 2",25,"Maestría","Manizales",5
"2009 - 2",25,"Maestría","Medellín",6
"2009 - 2",25,"Pregrado","Bogotá",135
"2009 - 2",25,"Pregrado","Manizales",49
"2009 - 2",25,"Pregrado","Medellín",37
"2009 - 2",25,"Pregrado","Palmira",3
"2009 - 2",26,"Especialidades Médicas","Bogotá",2
"2009 - 2",26,"Especialización","Bogotá",6
"2009 - 2",26,"Maestría","Bogotá",16
"2009 - 2",26,"Maestría","Medellín",12
"2009 - 2",26,"Pregrado","Bogotá",110
"2009 - 2",26,"Pregrado","Manizales",27
"2009 - 2",26,"Pregrado","Medellín",28
"2009 - 2",26,"Pregrado","Palmira",2
"2009 - 2",27,"Doctorado","Bogotá",2
"2009 - 2",27,"Especialización","Bogotá",8
"2009 - 2",27,"Especialización","Medellín",1
"2009 - 2",27,"Maestría","Bogotá",30
"2009 - 2",27,"Maestría","Manizales",2
"2009 - 2",27,"Maestría","Medellín",7
"2009 - 2",27,"Pregrado","Bogotá",78
"2009 - 2",27,"Pregrado","Manizales",25
"2009 - 2",27,"Pregrado","Medellín",16
"2009 - 2",27,"Pregrado","Palmira",1
"2009 - 2",28,"Doctorado","Medellín",1
"2009 - 2",28,"Especialidades Médicas","Bogotá",3
"2009 - 2",28,"Especialización","Bogotá",1
"2009 - 2",28,"Maestría","Amazonía",1
"2009 - 2",28,"Maestría","Bogotá",19
"2009 - 2",28,"Maestría","Medellín",6
"2009 - 2",28,"Pregrado","Bogotá",43
"2009 - 2",28,"Pregrado","Manizales",9
"2009 - 2",28,"Pregrado","Medellín",11
"2009 - 2",29,"Doctorado","Bogotá",1
"2009 - 2",29,"Doctorado","Palmira",1
"2009 - 2",29,"Especialización","Bogotá",1
"2009 - 2",29,"Maestría","Bogotá",23
"2009 - 2",29,"Maestría","Manizales",1
"2009 - 2",29,"Maestría","Medellín",4
"2009 - 2",29,"Maestría","Palmira",1
"2009 - 2",29,"Pregrado","Bogotá",38
"2009 - 2",29,"Pregrado","Manizales",8
"2009 - 2",29,"Pregrado","Medellín",11
"2009 - 2",30,"Doctorado","Bogotá",2
"2009 - 2",30,"Doctorado","Palmira",1
"2009 - 2",30,"Especialización","Bogotá",2
"2009 - 2",30,"Maestría","Bogotá",17
"2009 - 2",30,"Maestría","Manizales",1
"2009 - 2",30,"Maestría","Medellín",6
"2009 - 2",30,"Maestría","Palmira",1
"2009 - 2",30,"Pregrado","Bogotá",21
"2009 - 2",30,"Pregrado","Manizales",10
"2009 - 2",30,"Pregrado","Medellín",4
"2009 - 2",31,"Doctorado","Bogotá",1
"2009 - 2",31,"Especialización","Bogotá",1
"2009 - 2",31,"Especialización","Medellín",1
"2009 - 2",31,"Maestría","Bogotá",14
"2009 - 2",31,"Maestría","Manizales",1
"2009 - 2",31,"Maestría","Medellín",3
"2009 - 2",31,"Maestría","Palmira",2
"2009 - 2",31,"Pregrado","Bogotá",25
"2009 - 2",31,"Pregrado","Manizales",5
"2009 - 2",31,"Pregrado","Medellín",6
"2009 - 2",32,"Especialidades Médicas","Bogotá",1
"2009 - 2",32,"Especialización","Bogotá",5
"2009 - 2",32,"Maestría","Bogotá",9
"2009 - 2",32,"Maestría","Medellín",1
"2009 - 2",32,"Pregrado","Bogotá",15
"2009 - 2",32,"Pregrado","Manizales",2
"2009 - 2",32,"Pregrado","Medellín",5
"2009 - 2",32,"Pregrado","Palmira",2
"2009 - 2",33,"Doctorado","Bogotá",1
"2009 - 2",33,"Especialización","Bogotá",3
"2009 - 2",33,"Maestría","Bogotá",8
"2009 - 2",33,"Maestría","Manizales",1
"2009 - 2",33,"Maestría","Medellín",1
"2009 - 2",33,"Maestría","Palmira",1
"2009 - 2",33,"Pregrado","Bogotá",7
"2009 - 2",33,"Pregrado","Manizales",1
"2009 - 2",33,"Pregrado","Medellín",4
"2009 - 2",33,"Pregrado","Palmira",1
"2009 - 2",34,"Especialidades Médicas","Bogotá",1
"2009 - 2",34,"Especialización","Bogotá",3
"2009 - 2",34,"Maestría","Bogotá",15
"2009 - 2",34,"Maestría","Medellín",5
"2009 - 2",34,"Pregrado","Bogotá",7
"2009 - 2",34,"Pregrado","Manizales",2
"2009 - 2",34,"Pregrado","Medellín",2
"2009 - 2",35,"Doctorado","Medellín",1
"2009 - 2",35,"Especialización","Bogotá",2
"2009 - 2",35,"Maestría","Bogotá",6
"2009 - 2",35,"Maestría","Medellín",4
"2009 - 2",35,"Maestría","Palmira",1
"2009 - 2",35,"Pregrado","Bogotá",7
"2009 - 2",35,"Pregrado","Manizales",3
"2009 - 2",36,"Doctorado","Bogotá",1
"2009 - 2",36,"Maestría","Bogotá",4
"2009 - 2",36,"Maestría","Medellín",1
"2009 - 2",36,"Pregrado","Bogotá",3
"2009 - 2",37,"Especialización","Bogotá",2
"2009 - 2",37,"Especialización","Manizales",1
"2009 - 2",37,"Maestría","Bogotá",8
"2009 - 2",37,"Maestría","Palmira",1
"2009 - 2",37,"Pregrado","Bogotá",3
"2009 - 2",37,"Pregrado","Medellín",1
"2009 - 2",37,"Pregrado","Palmira",1
"2009 - 2",38,"Doctorado","Bogotá",1
"2009 - 2",38,"Especialidades Médicas","Bogotá",1
"2009 - 2",38,"Especialización","Bogotá",1
"2009 - 2",38,"Maestría","Medellín",2
"2009 - 2",38,"Pregrado","Bogotá",6
"2009 - 2",38,"Pregrado","Medellín",1
"2009 - 2",39,"Doctorado","Bogotá",3
"2009 - 2",39,"Especialización","Amazonía",1
"2009 - 2",39,"Especialización","Bogotá",1
"2009 - 2",39,"Maestría","Bogotá",8
"2009 - 2",39,"Maestría","Medellín",1
"2009 - 2",39,"Pregrado","Bogotá",8
"2009 - 2",40,"Especialización","Bogotá",1
"2009 - 2",40,"Maestría","Bogotá",4
"2009 - 2",40,"Maestría","Manizales",1
"2009 - 2",40,"Pregrado","Bogotá",2
"2009 - 2",41,"Maestría","Amazonía",1
"2009 - 2",41,"Maestría","Bogotá",3
"2009 - 2",41,"Maestría","Medellín",1
"2009 - 2",41,"Pregrado","Bogotá",1
"2009 - 2",42,"Doctorado","Bogotá",1
"2009 - 2",42,"Doctorado","Medellín",1
"2009 - 2",42,"Maestría","Bogotá",4
"2009 - 2",42,"Maestría","Medellín",1
"2009 - 2",43,"Doctorado","Bogotá",1
"2009 - 2",43,"Especialización","Bogotá",2
"2009 - 2",43,"Maestría","Bogotá",4
"2009 - 2",44,"Doctorado","Bogotá",1
"2009 - 2",44,"Maestría","Bogotá",2
"2009 - 2",44,"Maestría","Manizales",1
"2009 - 2",44,"Maestría","Medellín",1
"2009 - 2",45,"Doctorado","Bogotá",4
"2009 - 2",45,"Doctorado","Medellín",1
"2009 - 2",45,"Maestría","Bogotá",3
"2009 - 2",45,"Maestría","Manizales",1
"2009 - 2",46,"Doctorado","Medellín",1
"2009 - 2",46,"Especialización","Bogotá",2
"2009 - 2",46,"Maestría","Bogotá",1
"2009 - 2",47,"Maestría","Bogotá",3
"2009 - 2",48,"Doctorado","Bogotá",1
"2009 - 2",48,"Doctorado","Medellín",1
"2009 - 2",48,"Maestría","Manizales",1
"2009 - 2",48,"Maestría","Medellín",1
"2009 - 2",49,"Especialización","Bogotá",2
"2009 - 2",49,"Maestría","Bogotá",3
"2009 - 2",50,"Maestría","Bogotá",2
"2009 - 2",50,"Maestría","Palmira",1
"2009 - 2",50,"Pregrado","Medellín",1
"2009 - 2",51,"Doctorado","Bogotá",1
"2009 - 2",51,"Maestría","Bogotá",3
"2009 - 2",52,"Maestría","Bogotá",2
"2009 - 2",53,"Especialización","Bogotá",1
"2009 - 2",53,"Maestría","Bogotá",2
"2009 - 2",54,"Maestría","Bogotá",3
"2009 - 2",55,"Maestría","Bogotá",2
"2009 - 2",56,"Pregrado","Bogotá",2
"2009 - 2",57,"Especialización","Medellín",1
"2009 - 2",57,"Maestría","Bogotá",1
"2009 - 2",59,"Doctorado","Bogotá",1
"2009 - 2",59,"Pregrado","Bogotá",1
"2010 - 1",19,"Pregrado","Bogotá",1
"2010 - 1",20,"Pregrado","Bogotá",6
"2010 - 1",20,"Pregrado","Manizales",3
"2010 - 1",20,"Pregrado","Medellín",2
"2010 - 1",21,"Especialización","Bogotá",1
"2010 - 1",21,"Pregrado","Bogotá",92
"2010 - 1",21,"Pregrado","Manizales",20
"2010 - 1",21,"Pregrado","Medellín",11
"2010 - 1",21,"Pregrado","Palmira",6
"2010 - 1",22,"Especialización","Bogotá",4
"2010 - 1",22,"Especialización","Medellín",1
"2010 - 1",22,"Pregrado","Bogotá",369
"2010 - 1",22,"Pregrado","Manizales",71
"2010 - 1",22,"Pregrado","Medellín",142
"2010 - 1",22,"Pregrado","Palmira",20
"2010 - 1",23,"Especialización","Bogotá",18
"2010 - 1",23,"Especialización","Manizales",6
"2010 - 1",23,"Especialización","Medellín",5
"2010 - 1",23,"Maestría","Bogotá",3
"2010 - 1",23,"Maestría","Manizales",1
"2010 - 1",23,"Maestría","Medellín",1
"2010 - 1",23,"Pregrado","Bogotá",484
"2010 - 1",23,"Pregrado","Manizales",80
"2010 - 1",23,"Pregrado","Medellín",193
"2010 - 1",23,"Pregrado","Palmira",29
"2010 - 1",24,"Especialización","Bogotá",22
"2010 - 1",24,"Especialización","Manizales",4
"2010 - 1",24,"Especialización","Medellín",4
"2010 - 1",24,"Maestría","Bogotá",3
"2010 - 1",24,"Maestría","Manizales",1
"2010 - 1",24,"Maestría","Medellín",3
"2010 - 1",24,"Pregrado","Bogotá",395
"2010 - 1",24,"Pregrado","Manizales",59
"2010 - 1",24,"Pregrado","Medellín",185
"2010 - 1",24,"Pregrado","Palmira",31
"2010 - 1",25,"Especialización","Bogotá",30
"2010 - 1",25,"Especialización","Manizales",3
"2010 - 1",25,"Especialización","Medellín",9
"2010 - 1",25,"Maestría","Bogotá",15
"2010 - 1",25,"Maestría","Manizales",4
"2010 - 1",25,"Maestría","Medellín",7
"2010 - 1",25,"Maestría","Palmira",1
"2010 - 1",25,"Pregrado","Bogotá",263
"2010 - 1",25,"Pregrado","Manizales",41
"2010 - 1",25,"Pregrado","Medellín",101
"2010 - 1",25,"Pregrado","Palmira",21
"2010 - 1",26,"Especialidades Médicas","Bogotá",1
"2010 - 1",26,"Especialización","Bogotá",28
"2010 - 1",26,"Especialización","Manizales",3
"2010 - 1",26,"Especialización","Medellín",12
"2010 - 1",26,"Especialización","Palmira",1
"2010 - 1",26,"Maestría","Bogotá",30
"2010 - 1",26,"Maestría","Manizales",3
"2010 - 1",26,"Maestría","Medellín",7
"2010 - 1",26,"Pregrado","Bogotá",188
"2010 - 1",26,"Pregrado","Manizales",31
"2010 - 1",26,"Pregrado","Medellín",60
"2010 - 1",26,"Pregrado","Palmira",13
"2010 - 1",27,"Especialidades Médicas","Bogotá",9
"2010 - 1",27,"Especialización","Bogotá",35
"2010 - 1",27,"Especialización","Manizales",4
"2010 - 1",27,"Especialización","Medellín",14
"2010 - 1",27,"Especialización","Palmira",1
"2010 - 1",27,"Maestría","Bogotá",25
"2010 - 1",27,"Maestría","Manizales",2
"2010 - 1",27,"Maestría","Medellín",12
"2010 - 1",27,"Maestría","Palmira",1
"2010 - 1",27,"Pregrado","Bogotá",139
"2010 - 1",27,"Pregrado","Manizales",27
"2010 - 1",27,"Pregrado","Medellín",45
"2010 - 1",27,"Pregrado","Palmira",9
"2010 - 1",28,"Doctorado","Bogotá",2
"2010 - 1",28,"Especialidades Médicas","Bogotá",6
"2010 - 1",28,"Especialización","Bogotá",31
"2010 - 1",28,"Especialización","Manizales",7
"2010 - 1",28,"Especialización","Medellín",13
"2010 - 1",28,"Especialización","Palmira",1
"2010 - 1",28,"Maestría","Bogotá",39
"2010 - 1",28,"Maestría","Manizales",3
"2010 - 1",28,"Maestría","Medellín",13
"2010 - 1",28,"Maestría","Palmira",1
"2010 - 1",28,"Pregrado","Bogotá",113
"2010 - 1",28,"Pregrado","Manizales",18
"2010 - 1",28,"Pregrado","Medellín",32
"2010 - 1",28,"Pregrado","Palmira",8
"2010 - 1",29,"Doctorado","Bogotá",3
"2010 - 1",29,"Especialidades Médicas","Bogotá",15
"2010 - 1",29,"Especialización","Bogotá",33
"2010 - 1",29,"Especialización","Medellín",19
"2010 - 1",29,"Especialización","Palmira",1
"2010 - 1",29,"Maestría","Amazonía",1
"2010 - 1",29,"Maestría","Bogotá",35
"2010 - 1",29,"Maestría","Manizales",1
"2010 - 1",29,"Maestría","Medellín",9
"2010 - 1",29,"Maestría","Palmira",1
"2010 - 1",29,"Pregrado","Bogotá",70
"2010 - 1",29,"Pregrado","Manizales",16
"2010 - 1",29,"Pregrado","Medellín",24
"2010 - 1",29,"Pregrado","Palmira",2
"2010 - 1",30,"Doctorado","Bogotá",3
"2010 - 1",30,"Especialidades Médicas","Bogotá",14
"2010 - 1",30,"Especialización","Bogotá",44
"2010 - 1",30,"Especialización","Manizales",7
"2010 - 1",30,"Especialización","Medellín",20
"2010 - 1",30,"Especialización","Palmira",2
"2010 - 1",30,"Maestría","Amazonía",2
"2010 - 1",30,"Maestría","Bogotá",41
"2010 - 1",30,"Maestría","Manizales",4
"2010 - 1",30,"Maestría","Medellín",3
"2010 - 1",30,"Pregrado","Bogotá",59
"2010 - 1",30,"Pregrado","Manizales",11
"2010 - 1",30,"Pregrado","Medellín",14
"2010 - 1",30,"Pregrado","Palmira",5
"2010 - 1",31,"Doctorado","Bogotá",1
"2010 - 1",31,"Especialidades Médicas","Bogotá",14
"2010 - 1",31,"Especialización","Bogotá",26
"2010 - 1",31,"Especialización","Manizales",1
"2010 - 1",31,"Especialización","Medellín",14
"2010 - 1",31,"Maestría","Amazonía",1
"2010 - 1",31,"Maestría","Bogotá",22
"2010 - 1",31,"Maestría","Manizales",1
"2010 - 1",31,"Maestría","Medellín",5
"2010 - 1",31,"Maestría","Palmira",1
"2010 - 1",31,"Pregrado","Bogotá",50
